strategy,province,n_grids,attain_rate,mean_RR,mean_cost_total_million_usd
极限减灾,Sichuan,5020,0.035856573705179286,0.08968984369009646,34.738924996995735
极限减灾,Tianjin,110,0.36363636363636365,0.28279518883421373,26.777000908875166
极限减灾,Tibet,11821,0.0,0.006763560906122865,16.250216390603153
极限减灾,Xinjiang,15741,0.019695044472681066,0.049566120113023596,31.688284478413237
极限减灾,Yunnan,3700,0.0027027027027027024,0.06296677513104715,44.05014521471318
极限减灾,Zhejiang,920,0.09782608695652176,0.1810515468220439,64.50513759476797
达标优先,Anhui,1400,0.4428571428571429,0.3706013043557967,36.06625736897745
达标优先,Beijing,70,1.0,0.4117220114031376,51.54419668176216
达标优先,Chongqing,850,0.0823529411764706,0.18952937059345348,42.02391109630508
达标优先,Fujian,1470,0.09523809523809525,0.18004151850832933,49.88711996436557
达标优先,Gansu,4110,0.043795620437956206,0.071901270920625,33.696560842763745
达标优先,Guangdong,1910,0.04712041884816754,0.1268306007793201,53.68120167829014
达标优先,Guangxi,2460,0.09756097560975611,0.16179791620559625,45.53597398945121
达标优先,Guizhou,1680,0.30357142857142855,0.24303859115221518,40.791966582113304
达标优先,Hainan,380,0.18421052631578944,0.26105524900894245,18.63479980676236
达标优先,Hebei,1740,0.6839080459770114,0.36909753582749544,45.06215101314047
达标优先,Heilongjiang,4040,0.2524752475247525,0.22518026688277668,34.39835723237046
达标优先,Henan,1460,0.39726027397260266,0.3275170724400452,45.49100547727948
达标优先,Hubei,1700,0.11176470588235295,0.16475289193632048,44.41365003618388
达标优先,Hunan,2030,0.1330049261083744,0.14546545161625493,38.41881380862625
达标优先,Inner Mongolia,10181,0.15717092337917485,0.1747737277642187,33.72785685073102
达标优先,Jiangsu,880,0.2613636363636363,0.25472964927429503,56.70902084706199
达标优先,Jiangxi,1790,0.15083798882681562,0.14180498624862625,34.84045021325634
达标优先,Jilin,1760,0.8522727272727273,0.41113487201961585,37.418788134557744
达标优先,Liaoning,1230,0.4471544715447155,0.3020966247555546,40.857398423543295
达标优先,Ningxia,450,0.04444444444444443,0.15519292788021097,42.76717729361325
达标优先,Qinghai,6940,0.008645533141210374,0.024641668250438807,16.93881608337233
达标优先,Shaanxi,2000,0.5,0.284138363723485,38.0076156731359
达标优先,Shandong,1380,0.4275362318840581,0.260467519173182,29.225895760446413
达标优先,Shanghai,40,0.0,0.18691128496956783,132.11281897247179
达标优先,Shanxi,1630,0.44785276073619634,0.2509649578820098,36.839392505904634
达标优先,Sichuan,5020,0.035856573705179286,0.08677340886218352,34.0914611297281
达标优先,Tianjin,110,0.36363636363636365,0.285353924406691,45.940348551587576
达标优先,Tibet,11821,0.0,0.006763560906122865,16.250216390603153
达标优先,Xinjiang,15741,0.02096569250317662,0.0476056459052108,31.215954140876764
达标优先,Yunnan,3700,0.0027027027027027024,0.06296137312294492,44.04175596303719
达标优先,Zhejiang,920,0.15217391304347824,0.18109746206873276,64.61274138955707
