scenario_id,ssp,year,path_group,contribution_mean,contribution_mean_abs,n_stable_paths,contribution_share,n_stable_edges
ssp4_2080,ssp4,2080,Climate_mediated_to_RISK,-0.020553631835177992,0.1274733235025903,30,0.04950854892531171,18
ssp4_2080,ssp4,2080,Anthropogenic_mediated_to_RISK,0.0317642638759378,0.061942959269087446,22,0.02405762982628981,13
ssp4_2100,ssp4,2100,Climate_to_RISK,0.1404891534875761,1.2737046016784421,3,0.47051071347609974,3
ssp4_2100,ssp4,2100,Hydrogeology_to_RISK,-0.7353752501058813,0.939455477485786,56,0.34703797600195835,29
ssp4_2100,ssp4,2100,Anthropogenic_to_RISK,-0.0098221346449111,0.2963959321941853,5,0.10948964253118641,5
ssp4_2100,ssp4,2100,Climate_mediated_to_RISK,-0.006069911638652649,0.12811505132835938,30,0.04732612579722123,18
ssp4_2100,ssp4,2100,Anthropogenic_mediated_to_RISK,0.037208120378139545,0.06939716168670151,22,0.025635542193534047,13
ssp5_2040,ssp5,2040,Hydrogeology_to_RISK,-0.7324049289646029,0.8665703623278722,32,0.39084673310252804,22
ssp5_2040,ssp5,2040,Climate_to_RISK,0.254261418204277,0.8570892391466272,3,0.38657048943827704,3
ssp5_2040,ssp5,2040,Anthropogenic_to_RISK,0.037547047139260104,0.3033232451134167,4,0.13680700907906315,4
ssp5_2040,ssp5,2040,Climate_mediated_to_RISK,-0.01732870703923396,0.1308562150320815,17,0.05901970154398156,14
ssp5_2040,ssp5,2040,Anthropogenic_mediated_to_RISK,0.02338696524068841,0.05932252355961015,11,0.026756066836150127,9
ssp5_2060,ssp5,2060,Climate_to_RISK,0.26281061194154487,1.1471157149781697,3,0.43166417766551507,3
ssp5_2060,ssp5,2060,Hydrogeology_to_RISK,-0.7375321908320445,0.912775160268196,56,0.3434809006676174,29
ssp5_2060,ssp5,2060,Anthropogenic_to_RISK,-0.015804810919879203,0.3422804762178418,5,0.12880149610743266,5
ssp5_2060,ssp5,2060,Climate_mediated_to_RISK,-0.04371174558320124,0.18260878721896623,31,0.06871640841471008,19
ssp5_2060,ssp5,2060,Anthropogenic_mediated_to_RISK,0.03714500995843269,0.0726461068345601,22,0.02733701714472486,13
ssp5_2080,ssp5,2080,Climate_to_RISK,0.21204111673875725,1.234329983668437,3,0.49098970516677537,3
ssp5_2080,ssp5,2080,Hydrogeology_to_RISK,-0.6853717303247266,0.8187580667397448,32,0.32568420690609357,22
ssp5_2080,ssp5,2080,Anthropogenic_to_RISK,0.011146288817390104,0.2723056956411751,4,0.10831730168357334,4
ssp5_2080,ssp5,2080,Climate_mediated_to_RISK,-0.008718957004771896,0.12813064157290757,21,0.05096759113129559,15
ssp5_2080,ssp5,2080,Anthropogenic_mediated_to_RISK,0.02705575310714286,0.060438676530312256,11,0.024041195112262048,9
ssp5_2100,ssp5,2100,Climate_to_RISK,0.12007505319760278,1.2768661852841083,3,0.45412012640156313,3
ssp5_2100,ssp5,2100,Hydrogeology_to_RISK,-0.7132131396627823,0.9384363261492844,32,0.3337568399588469,22
ssp5_2100,ssp5,2100,Anthropogenic_to_RISK,0.01739129733151301,0.3244772068432502,4,0.11540099650559431,4
ssp5_2100,ssp5,2100,Climate_mediated_to_RISK,0.006620620270184145,0.17999486322670444,21,0.06401554914852392,15
ssp5_2100,ssp5,2100,Anthropogenic_mediated_to_RISK,0.029946600271425632,0.09196202969238436,11,0.03270648798547179,9
