ADCODE99,NAME_EN_JX,n_points,n_points_all_classes,n_points_class_ge_min,summary_selection_mode,mean_score_H0,mean_score_H1,delta_mean,climate_increment_raw_score_mean,susceptibility_prob_delta_mean,change_rate,change_rate_pct,median_score_H0,median_score_H1,delta_median,H0_susceptibility_prob_mean,H1_susceptibility_prob_mean,H0_susceptibility_class_mean,H1_susceptibility_class_mean,susceptibility_class_delta_mean,H0_high_risk_share,H1_high_risk_share,high_risk_share_delta
650000,Xinjiang,1939,15235,1939,H0_class_ge_2,0.4964369836432443,12.946080671401981,-12.449643687758737,-12.449643687758737,0.041943222838235816,0.08923980809884281,8.92398080988428,0.4573466741110066,0.4012325865980326,0.056114087512973976,0.47000574891173147,0.42806252607349565,2.3646209386281587,1.9587416193914389,0.4058793192367198,0.3022176379577102,0.21660649819494585,0.08561113976276433
330000,Zhejiang,553,963,553,H0_class_ge_2,0.6425804492801763,0.550311270873822,0.09226917840635429,0.09226917840635429,0.04819773913353531,0.08754974144364015,8.754974144364015,0.5814228652487279,0.5564773572977317,0.02494550795099615,0.5505183492125153,0.50232061007898,2.875226039783002,2.5171790235081373,0.35804701627486457,0.5750452079566004,0.5443037974683544,0.030741410488245968
210000,Liaoning,1169,1281,1169,H0_class_ge_2,0.7689212078992826,0.6735614447845159,0.0953597631147668,0.0953597631147668,0.050313444556557396,0.0812525046656281,8.12525046656281,0.7679362410183596,0.6879414168522104,0.07999482416614911,0.619223305959715,0.5689098614031576,3.3028229255774164,2.971770744225834,0.3310521813515823,0.8109495295124037,0.7159965782720273,0.0949529512403764
610000,Shaanxi,1047,1977,1047,H0_class_ge_2,0.586355795634155,0.518966880180032,0.06738891545412296,0.06738891545412296,0.03727724548868272,0.07179971333588976,7.179971333588976,0.5381870263521451,0.4736637840767255,0.06452324227541961,0.5191837649029908,0.48190651941430807,2.659025787965616,2.3638968481375358,0.2951289398280803,0.5081184336198663,0.3858643744030564,0.12225405921680993
440000,Guangdong,1421,1747,1421,H0_class_ge_2,0.7784419492705391,0.6882351519257986,0.09020679734474046,0.09020679734474046,0.04386289820165734,0.07072810911403099,7.072810911403099,0.7549003874194851,0.6889036347775779,0.06599675264190719,0.6201621781085598,0.5762992799069024,3.242786769880366,3.015482054890922,0.22730471498944382,0.7565095003518649,0.7262491203377903,0.030260380014074606
530000,Yunnan,1406,4015,1406,H0_class_ge_2,0.5182330659085238,0.47390023065864784,0.04433283524987597,0.04433283524987597,0.02462767988165593,0.05101615040705645,5.101615040705645,0.48609150940591683,0.44864981886041166,0.03744169054550517,0.48274281154403764,0.4581151316623817,2.4615931721194877,2.1763869132290186,0.28520625889046913,0.3748221906116643,0.36984352773826457,0.0049786628733997085
140000,Shanxi,1172,1459,1172,H0_class_ge_2,0.8673801546483084,0.8112439389351368,0.05613621571317162,0.05613621571317162,0.01921135844696753,0.028957995499562395,2.8957995499562394,0.8716695974854547,0.8473992455215078,0.02427035196394689,0.6634215564836954,0.6442101980367279,3.4215017064846416,3.476962457337884,-0.05546075085324231,0.8353242320819113,0.8907849829351536,-0.05546075085324231
450000,Guangxi,1695,2496,1695,H0_class_ge_2,0.8046216507683615,0.7892800610743509,0.01534158969401056,0.01534158969401056,0.0026132505418003937,0.00411455587583106,0.411455587583106,0.796054871099634,0.8279276688728254,-0.03187279777319141,0.635123357335029,0.6325101067932286,3.3286135693215337,3.4058997050147495,-0.07728613569321574,0.799410029498525,0.863716814159292,-0.064306784660767
630000,Qinghai,133,6855,133,H0_class_ge_2,0.4628833959379488,0.49913296883670766,-0.03624957289875885,-0.03624957289875885,0.0017403952206553885,0.003874358843112893,0.3874358843112893,0.38766963620965345,0.3801133602103939,0.007556275999259565,0.4492085764717267,0.4474681812510713,2.2781954887218046,2.1578947368421053,0.12030075187969924,0.21052631578947367,0.19548872180451127,0.015037593984962405
460000,Hainan,8,377,8,H0_class_ge_2,0.6468181866117773,0.6488109114833704,-0.001992724871593188,-0.001992724871593188,-0.002117835401792112,-0.0038139564850437563,-0.38139564850437563,0.660901700143244,0.6280779400976306,0.03282376004561338,0.55528567515049,0.5574035105522821,2.875,3.0,-0.125,0.625,0.75,-0.125
420000,Hubei,1099,1810,1099,H0_class_ge_2,0.6751288399286117,0.6792565995605491,-0.004127759631937344,-0.004127759631937344,-0.004308783597003263,-0.007563581561962169,-0.7563581561962169,0.6570980983643085,0.7027594598293814,-0.045661361465072825,0.5696750357889264,0.5739838193859297,3.002729754322111,3.0282074613284804,-0.02547770700636942,0.6787989080982711,0.7534121929026387,-0.07461328480436757
230000,Heilongjiang,565,4159,565,H0_class_ge_2,0.4945397681963866,0.49802501764480406,-0.003485249448417438,-0.003485249448417438,-0.008075157434611457,-0.017202888678403763,-1.7202888678403763,0.4526066250584737,0.5105815399322657,-0.05797491487379203,0.46940706212607675,0.4774822195606882,2.408849557522124,2.2265486725663717,0.18230088495575236,0.3380530973451327,0.4814159292035398,-0.1433628318584071
640000,Ningxia,68,484,68,H0_class_ge_2,0.5826692553211184,0.6241517111237717,-0.041482455802653306,-0.041482455802653306,-0.018542453305060103,-0.036114648130344214,-3.6114648130344214,0.46034078974047565,0.5452799735861183,-0.0849391838456427,0.513433032439831,0.5319754857448911,2.676470588235294,2.5294117647058822,0.1470588235294117,0.4117647058823529,0.5,-0.08823529411764708
540000,Tibet,53,11904,53,H0_class_ge_2,0.8733491187269862,1.1168298348123555,-0.24348071608536936,-0.24348071608536936,-0.025411802069617684,-0.03844460720453722,-3.844460720453722,0.8842553013106624,0.8918878605747365,-0.007632559264074024,0.6609978334391355,0.6864096355087532,3.339622641509434,3.339622641509434,0.0,0.7547169811320755,0.7547169811320755,0.0
500000,Chongqing,571,820,571,H0_class_ge_2,0.667872863875605,0.7311838367235413,-0.0633109728479363,-0.0633109728479363,-0.03764696114276844,-0.06692591467050349,-6.692591467050349,0.6060270523076476,0.7098083233189114,-0.10378127101126378,0.5625169462100864,0.6001639073528549,2.915936952714536,3.1593695271453592,-0.24343257443082322,0.6217162872154116,0.7828371278458844,-0.16112084063047283
370000,Shandong,542,1397,542,H0_class_ge_2,0.8354512604373074,0.9774369853701919,-0.14198572493288442,-0.14198572493288442,-0.069668535523282,-0.10828853427329507,-10.828853427329507,0.7753181559376179,0.9586561435073255,-0.18333798756970765,0.643360222675605,0.713028758198887,3.2675276752767526,3.6346863468634685,-0.3671586715867159,0.7675276752767528,0.9372693726937269,-0.1697416974169741
520000,Guizhou,1247,1807,1247,H0_class_ge_2,0.6919356822064012,0.8150767024354886,-0.12314102022908735,-0.12314102022908735,-0.06532131816698084,-0.11260023673070715,-11.260023673070716,0.6826501845772123,0.8329384990136774,-0.15028831443646518,0.5801170589294782,0.645438377096459,3.1122694466720127,3.4771451483560547,-0.36487570168404204,0.7594226142742582,0.8941459502806736,-0.1347233360064154
110000,Beijing,12,93,12,H0_class_ge_2,0.4411026930272768,0.7128364491984746,-0.27173375617119777,-0.27173375617119777,-0.15612668561472504,-0.3555955679935578,-35.55955679935578,0.3910203056889369,0.6795322818162792,-0.2885119761273423,0.4390568940317994,0.5951835796465245,2.25,3.4166666666666665,-1.1666666666666665,0.25,1.0,-0.75
310000,Shanghai,29,29,0,all_classes_fallback,-0.23421388328664328,-0.07097160046627875,-0.16324228282036451,-0.16324228282036451,-0.052354399423508696,-0.3674633292652296,-36.74633292652296,-0.2039448021030843,-0.0651472166882563,-0.138797585414828,0.1424751675988873,0.19482956702239598,0.0,0.1724137931034483,-0.1724137931034483,0.0,0.0,0.0
120000,Tianjin,7,94,7,H0_class_ge_2,0.40012044096761074,0.6916432337705496,-0.29152279280293886,-0.29152279280293886,-0.167950528107692,-0.40476463216021213,-40.476463216021216,0.39436105557168344,0.7131252626212071,-0.3187642070495237,0.4149338029149113,0.5828843310226033,2.0,3.0,-1.0,0.0,0.8571428571428571,-0.8571428571428571
