path_id,path_str,source_root,mediator,target,path_length,path_sign,path_effect,path_effect_abs,source_group,mediator_group,target_group,source_total_effect,source_abs_path_sum,path_rank_within_source,path_share_within_source_abs,is_main_path
current_path_015,DB->UF->IP->RISK,DB,UF|IP,RISK,3,positive,0.0013557697934570728,0.0013557697934570728,Hydrogeology,Anthropogenic,Target,-0.1498912674435789,0.20569830538397263,6,0.006591059614838762,False
current_path_070,TAS->LAI->UF->RISK,TAS,LAI|UF,RISK,3,positive,0.0012932989818754872,0.0012932989818754872,Climate,Anthropogenic,Target,0.2918316233019989,0.30453367305675194,4,0.004246817663524756,False
current_path_052,HDS->WTD->LAI->RISK,HDS,WTD|LAI,RISK,3,negative,-0.0010873430395147846,0.0010873430395147846,Hydrogeology,Anthropogenic,Target,-0.2892322204747303,0.34911329658752427,7,0.0031145850076271238,False
current_path_058,PR->LAI->UF->IP->RISK,PR,LAI|UF|IP,RISK,4,negative,-0.0009206000441960307,0.0009206000441960307,Climate,Anthropogenic,Target,0.2704314152905622,0.37663556053284636,8,0.0024442727683323603,False
current_path_083,HUSS->LAI->UF->IP->RISK,HUSS,LAI|UF|IP,RISK,4,negative,-0.0008965481962152113,0.0008965481962152113,Climate,Anthropogenic,Target,-0.3926715940450668,0.41240174971982846,8,0.002173967973764164,False
current_path_098,PT->LAI->UF->RISK,PT,LAI|UF,RISK,3,positive,0.0008846873640666231,0.0008846873640666231,Anthropogenic,Anthropogenic,Target,0.1666413524150151,0.166641352415015,7,0.005308930534020976,False
current_path_001,DK->UF->IP->RISK,DK,UF|IP,RISK,3,negative,-0.0008766131182005836,0.0008766131182005836,Hydrogeology,Anthropogenic,Target,-0.2774788827882801,0.2826168054307626,6,0.0031017727939584338,False
current_path_043,HDS->IP->RISK,HDS,IP,RISK,2,negative,-0.0007754335722739659,0.0007754335722739659,Hydrogeology,Anthropogenic,Target,-0.2892322204747303,0.34911329658752427,8,0.0022211516429010065,False
current_path_019,DB->LAI->UF->RISK,DB,LAI|UF,RISK,3,positive,0.0007748244586697099,0.0007748244586697099,Hydrogeology,Anthropogenic,Target,-0.1498912674435789,0.20569830538397263,7,0.003766800398395901,False
current_path_032,DF->LAI->UF->RISK,DF,LAI|UF,RISK,3,positive,0.000762946416611335,0.000762946416611335,Hydrogeology,Anthropogenic,Target,0.0128413274901641,0.018402536748936462,4,0.04145876337703431,False
current_path_091,HUSS->WTD->LAI->RISK,HUSS,WTD|LAI,RISK,3,positive,0.0007196779827199258,0.0007196779827199258,Climate,Anthropogenic,Target,-0.3926715940450668,0.41240174971982846,9,0.0017450895472893853,False
current_path_005,DK->LAI->UF->RISK,DK,LAI|UF,RISK,3,negative,-0.0006566795617653802,0.0006566795617653802,Hydrogeology,Anthropogenic,Target,-0.2774788827882801,0.2826168054307626,7,0.0023235686949488856,False
current_path_116,WTD->IP->RISK,WTD,IP,RISK,2,negative,-0.0006428967999352407,0.0006428967999352407,Anthropogenic,Anthropogenic,Target,-0.0573506043231396,0.05735060432313952,4,0.011209939416032414,False
current_path_029,DF->UF->IP->RISK,DF,UF|IP,RISK,3,negative,-0.0005541118173724613,0.0005541118173724613,Hydrogeology,Anthropogenic,Target,0.0128413274901641,0.018402536748936462,5,0.030110621428563925,False
current_path_026,DB->WTD->LAI->RISK,DB,WTD|LAI,RISK,3,positive,0.0005255909360331667,0.0005255909360331667,Hydrogeology,Anthropogenic,Target,-0.1498912674435789,0.20569830538397263,8,0.002555154428968471,False
current_path_044,HDS->LAI->UF->IP->RISK,HDS,LAI|UF|IP,RISK,4,positive,0.0005190618613819973,0.0005190618613819973,Hydrogeology,Anthropogenic,Target,-0.2892322204747303,0.34911329658752427,9,0.0014868006072975973,False
current_path_077,TAS->WTD->LAI->RISK,TAS,WTD|LAI,RISK,3,negative,-0.0004633204975469215,0.0004633204975469215,Climate,Anthropogenic,Target,0.2918316233019989,0.30453367305675194,5,0.001521409743941776,False
current_path_048,HDS->WTD->UF->RISK,HDS,WTD|UF,RISK,3,negative,-0.00040322740163348665,0.00040322740163348665,Hydrogeology,Anthropogenic,Target,-0.2892322204747303,0.34911329658752427,10,0.001155004422847572,False
current_path_114,WTD->UF->IP->RISK,WTD,UF|IP,RISK,3,negative,-0.00038613153559945574,0.00038613153559945574,Anthropogenic,Anthropogenic,Target,-0.0573506043231396,0.05735060432313952,5,0.00673282418130791,False
current_path_039,DF->WTD->LAI->RISK,DF,WTD|LAI,RISK,3,positive,0.00034064963791077634,0.00034064963791077634,Hydrogeology,Anthropogenic,Target,0.0128413274901641,0.018402536748936462,6,0.01851101522351061,False
current_path_069,TAS->LAI->UF->IP->RISK,TAS,LAI|UF|IP,RISK,4,positive,0.0003218659612940027,0.0003218659612940027,Climate,Anthropogenic,Target,0.2918316233019989,0.30453367305675194,6,0.001056914192979969,False
