split,seed,cv_fold,cv_repeat,acc,bacc,prec,rec,f1,auc_roc,ap,brier
train,2032,1,1,0.9230693020260564,0.9230556896747867,0.9099453342284454,0.9392199564442685,0.9243509182132593,0.9809203683165477,0.9802061470190484,0.05664501315806197
test,2032,1,1,0.9134139092530216,0.9133979245752937,0.9006520905255082,0.9295328582739509,0.9148646015975064,0.9701539530336308,0.9628096423160154,0.06630430441782494
train,2033,2,1,0.9245058701144301,0.9244923839308071,0.9114543361473523,0.9405068303306277,0.9257527038877521,0.9811685458791324,0.9803309775779229,0.055888898059028636
test,2033,2,1,0.9046958589260947,0.9046767250110944,0.8898208158597026,0.9239904988123515,0.9065838026801321,0.9656449560822896,0.9585857920224213,0.07033006743852277
train,2034,3,1,0.9235151335017585,0.9234994932991458,0.9100316182811152,0.9401167969909928,0.9248296007789679,0.9807653864521098,0.9795767133975916,0.05686830923871545
test,2034,3,1,0.9110362591638598,0.9110259812658507,0.8973966309341501,0.9283168316831684,0.912594899746934,0.970009736104459,0.9639343474729921,0.06600816306391731
train,2035,4,1,0.923469387755102,0.9234558563405746,0.9111260568793236,0.9386320894783727,0.924674564867632,0.9808817420528889,0.9798172066178895,0.05666509869237442
test,2035,4,1,0.9048751486325802,0.9048524669999725,0.8831022855001873,0.9334653465346535,0.9075856757797459,0.968683808483982,0.9617392746380877,0.06746862576725081
train,2036,0,2,0.9241095754693615,0.9240958387069639,0.9108341323106424,0.9404078400316769,0.9253847652444964,0.9811344563096475,0.9803368147045188,0.05648508707650455
test,2036,0,2,0.9096492966118486,0.9096370377977798,0.8999227202472952,0.9220110847189232,0.9108330074305827,0.9691399842275009,0.9609052309632976,0.06668753646608745
train,2037,1,2,0.924159112299995,0.9241469190754061,0.9123448474935052,0.9386260146505643,0.9252988533788729,0.9806776531338699,0.9791751341215967,0.056805002457555126
test,2037,1,2,0.9098474341192788,0.909825557164631,0.8926810769814183,0.931908155186065,0.9118729420879333,0.970049682430058,0.9671001737059837,0.06619282086060395
train,2038,2,2,0.9235646703323921,0.9235514754953122,0.9108188537966785,0.9392199564442685,0.9248014035771723,0.9811362083937689,0.9808858755682811,0.05638836811665588
test,2038,2,2,0.9078660590449772,0.9078484985818256,0.8940726577437859,0.9255740300870943,0.9095506710756662,0.968872555254783,0.9636099791072213,0.06793761050940107
train,2039,3,2,0.9258929013721702,0.9258789417433595,0.9137582924718777,0.9407106799960407,0.927038626609442,0.9811767533005835,0.9803860963799537,0.05604342890664081
test,2039,3,2,0.9035070338815138,0.9034852113284286,0.8760147601476015,0.9401980198019801,0.9069723018147087,0.9652250688986423,0.9557118567761387,0.0710284919605886
train,2040,4,2,0.9247077471765405,0.924692494279668,0.9107877859672633,0.9417994655052955,0.9260340632603407,0.9810014019702176,0.9801504534204847,0.05638085322261179
test,2040,4,2,0.9088386841062227,0.9088257449307009,0.8960490985807441,0.9251485148514852,0.9103663289166017,0.9676591483027714,0.9607198645424477,0.06898018560474918
train,2041,0,3,0.925100312082033,0.9250866594548202,0.9118718833908708,0.9412987527222332,0.9263516804676084,0.9813144400098666,0.9808086812443679,0.056166888846378195
test,2041,0,3,0.9096492966118486,0.9096338971169492,0.8974654377880185,0.9251781472684085,0.9111111111111111,0.968530378078299,0.9647189122527913,0.06843989702734377
train,2042,1,3,0.9242086491306286,0.9241936609498338,0.9097514340344168,0.9419916848148882,0.9255908958272542,0.9808097072723858,0.9793849477324189,0.05658551844340948
test,2042,1,3,0.9066772340003962,0.9066526058385884,0.8875895888344021,0.9315122723673792,0.9090206683407379,0.9675346252209861,0.9609465997864658,0.06835256225075963
train,2043,2,3,0.9220290285827513,0.9220154572100323,0.9089775561097256,0.9381310631558107,0.9233242400623538,0.9804396739768982,0.979651579176774,0.05720502916925405
test,2043,2,3,0.912621359223301,0.9125983072358459,0.8944381384790011,0.9358669833729216,0.914683691236216,0.9692091577227927,0.9609473064239392,0.06563105714546497
train,2044,3,3,0.9264873433397731,0.9264734774857445,0.9144148475814983,0.9412055825002474,0.9276168178714271,0.9811134672256951,0.9800210253931103,0.05574335198816617
test,2044,3,3,0.9033088963740836,0.9032980268685076,0.8891860909438288,0.9215841584158416,0.9050952936600545,0.9656773266541563,0.9584247820765341,0.07069062268551392
train,2045,4,3,0.9232217158708144,0.9232066384558335,0.9095087618500431,0.9401167969909928,0.9245595249683637,0.9811437974681307,0.9802258802457573,0.0563851650864973
test,2045,4,3,0.9072532699167658,0.9072356168579968,0.8900265453166477,0.9295049504950496,0.9093374660984115,0.9693810015670349,0.9638771223748476,0.06797178009815347
train,2046,0,4,0.9219794917521177,0.9219668798189062,0.9098337018167836,0.9369431795684023,0.9231894659839064,0.9808791673468058,0.9801092562839087,0.056923798831506715
test,2046,0,4,0.912621359223301,0.9126092996187527,0.9029764205643602,0.9247822644497229,0.913749266575396,0.9697915969828108,0.9625382585304502,0.06515805544269478
train,2047,1,4,0.9269827116461089,0.9269694775167363,0.9140909963524669,0.942684616907543,0.9281676413255361,0.981860648553814,0.9811348098045001,0.05517773660086305
test,2047,1,4,0.8983554586883297,0.8983268965079712,0.8768251591164358,0.9271575613618369,0.9012892053107562,0.9633804466864717,0.9554251985361493,0.0738974528193514
train,2048,2,4,0.9245554069450637,0.9245427968386317,0.9123329808709026,0.9395169273411206,0.9257254328212631,0.9806687111247134,0.9795430255107895,0.05665977899858949
test,2048,2,4,0.9064790964929661,0.9064633013015295,0.8940905602455871,0.9224069675376089,0.9080280592361653,0.9682258890717811,0.9651928316019219,0.06830809513502832
train,2049,3,4,0.9259424382028038,0.9259261940371963,0.9118660287081339,0.9431851925170741,0.9272612270714737,0.9811359498553239,0.9806743219777757,0.05633811223099762
test,2049,3,4,0.9108381216564295,0.9108208949364405,0.8884312991388993,0.9398019801980197,0.9133949191685913,0.9693728064321103,0.9599594994013404,0.06683571048412539
train,2050,4,4,0.924559144045968,0.9245451718396206,0.911787291226723,0.9402157774918342,0.9257833438916232,0.9807952015902048,0.9796485622049423,0.05686816316216791
test,2050,4,4,0.9082441537851764,0.9082332564870925,0.89745566692367,0.921980198019802,0.9095526470013675,0.970090919444979,0.9643475719926698,0.0662504217053068
train,2051,0,5,0.9239609649774607,0.9239479372865782,0.9113607990012484,0.9394179370421699,0.9251766999756276,0.9808018695179275,0.9798541723720673,0.05642146075296809
test,2051,0,5,0.9064790964929661,0.9064585902802837,0.8904942965779468,0.9271575613618369,0.9084561675717611,0.9692684380734687,0.9654966807023778,0.06787327709995677
train,2052,1,5,0.9243077227918958,0.9242948204957917,0.9118155619596542,0.9396159176400712,0.9255070202808112,0.9814346565380173,0.9807710822812912,0.05614608118320969
test,2052,1,5,0.9078660590449772,0.9078433949754761,0.890193108670958,0.930720506730008,0.9100058060770273,0.9675024332424734,0.9598724290165837,0.0677221374261875
train,2053,2,5,0.9248030910982316,0.9247883536367327,0.9105605509852688,0.9422886557117403,0.9261529480443667,0.9813204373398278,0.9806829153493832,0.0561266734838281
test,2053,2,5,0.9009312462849217,0.9009087717017119,0.8837121212121212,0.9235946159936659,0.9032133178474642,0.9677754369236655,0.9625997173228213,0.0700852175826259
train,2054,3,5,0.9228216178728885,0.9228071892824024,0.910383248487177,0.938137186974166,0.9240518670176465,0.9806358745304167,0.9799310422186454,0.05707543553494607
test,2054,3,5,0.9155934218347533,0.9155837344241958,0.9025700038358266,0.9318811881188119,0.916991426344505,0.9704908881054639,0.9618784594525568,0.06486596498477354
train,2055,4,5,0.9232217158708144,0.923210171721109,0.9126700762327511,0.9361575769573394,0.924264634027167,0.9809844766480854,0.9803462628705065,0.056492967934740006
test,2055,4,5,0.9072532699167658,0.9072397013600606,0.8939103791650709,0.9243564356435644,0.9088785046728972,0.9678911008911285,0.961156787948852,0.06835743159351665
train,2056,0,6,0.9253479962352009,0.9253346357976602,0.912388446406295,0.9411997624232825,0.9265701895434391,0.9808257066960139,0.9795889320312627,0.05654081293601782
test,2056,0,6,0.9112343966712899,0.9112131099555499,0.894457099468489,0.9326999208234362,0.9131782945736434,0.9679710228223855,0.960346092684558,0.06782713777445547
train,2057,1,6,0.9259919750334373,0.9259768212521816,0.9113149847094801,0.9439714907939022,0.9273558300106972,0.9811550739718137,0.9800163637967944,0.05611653843159943
test,2057,1,6,0.9054884089558153,0.9054735942548153,0.8938869665513264,0.9204275534441805,0.9069631363370392,0.9667401114878881,0.9609094837568215,0.06962188710398455
train,2058,2,6,0.9249021647594987,0.9248894297501136,0.9125504516625024,0.9400118788358741,0.9260776282426371,0.980974854697259,0.9804615139689434,0.05661356732201181
test,2058,2,6,0.906280958985536,0.9062531897539685,0.8848893888263967,0.934283452098179,0.9089158482572695,0.9690685337386069,0.9632086299584901,0.06812392182229372
train,2059,3,6,0.9225739337197206,0.9225596447821081,0.9102613374327441,0.9377412649708008,0.9237969869825947,0.9808773578982964,0.9801926844133738,0.05667088332485027
test,2059,3,6,0.9090548840895581,0.9090469610006203,0.8985339506172839,0.9223762376237624,0.9102990033222591,0.9694187388604047,0.9617780888397444,0.06661297521079174
train,2060,4,6,0.9232712502476719,0.9232573653491005,0.9106182795698925,0.9388300504800554,0.9245089916662605,0.981071792466205,0.9802698762062019,0.05647781566032374
test,2060,4,6,0.909235037653587,0.9092217845346613,0.8961287849750862,0.925940594059406,0.9107908063887806,0.9694904976415928,0.9638943923280643,0.06685778181707558
train,2061,0,7,0.9242086491306286,0.9241968313877674,0.9127503852080123,0.9382300534547614,0.9253148491652836,0.9806571139964824,0.9797310624828578,0.05694332878959496
test,2061,0,7,0.9104418466415692,0.9104307663606701,0.9016266460108443,0.9216152019002375,0.9115113547376664,0.9699055251799373,0.9626589126639247,0.06561062421601536
train,2062,1,7,0.9250012384207659,0.9249885034816414,0.9126465500672689,0.9401108691348248,0.9261751511605227,0.9816308359738108,0.9807580378247416,0.05565373129146047
test,2062,1,7,0.9064790964929661,0.9064546644292457,0.8875471698113208,0.9311163895486936,0.9088098918083463,0.9651639608130971,0.9570126691262602,0.07067712324142422
train,2063,2,7,0.9232179125179572,0.9232028402019775,0.9087172624737144,0.9411007721243319,0.9246255592297219,0.9806131744750889,0.9796159393693631,0.05693098331177314
test,2063,2,7,0.9122250842084406,0.9122106687043404,0.9007310504040016,0.9267616785431513,0.9135609756097561,0.969544660952512,0.9661049969414373,0.06677352881397716
train,2064,3,7,0.9255461435577351,0.9255299922892579,0.9115620214395099,0.9426902900128674,0.9268648727555837,0.981266713265896,0.9803818593553556,0.05591839481796988
test,2064,3,7,0.903903308896374,0.9038897307653049,0.8863636363636364,0.9267326732673268,0.9060987415295256,0.9659802451299848,0.9580490646287844,0.0707834484433562
train,2065,4,7,0.9236675252625322,0.9236528456943065,0.9102932719953997,0.9401167969909928,0.9249646978623947,0.9809089629174486,0.9798723846420182,0.05661366257808952
test,2065,4,7,0.906064209274673,0.9060443561214511,0.8868351565447001,0.9310891089108911,0.9084234930448223,0.9700084439225357,0.965086772182838,0.06733281923121297
train,2066,0,8,0.9260415118640709,0.9260285690812415,0.9134569205647872,0.941397743021184,0.92721688685224,0.9809996145414933,0.9800416342825699,0.056293170591026113
test,2066,0,8,0.9072716465226868,0.9072534965984856,0.893048128342246,0.9255740300870943,0.9090202177293935,0.968745122130085,0.965122072770403,0.06834190206419813
train,2067,1,8,0.9230197651954228,0.9230066951207745,0.9104090647205685,0.9385270243516135,0.9242542405927081,0.9808699897633136,0.9801684916773127,0.056600546864793363
test,2067,1,8,0.9074697840301169,0.9074534009333475,0.8945956305097739,0.9239904988123515,0.9090555014605648,0.9694103968470078,0.9629821923157078,0.06655524678714202
train,2068,2,8,0.9254966067271015,0.9254832881112405,0.9125719769673705,0.9412987527222332,0.9267127960237793,0.9818887309777407,0.9810884371138404,0.055467745711466634
test,2068,2,8,0.9027144838517931,0.9026922073113165,0.8855627131489201,0.9251781472684085,0.9049370764762826,0.9631774016707794,0.9539324457633199,0.0722687416703071
train,2069,3,8,0.9240105018080943,0.9239959810225993,0.9114568328051474,0.9394239334851034,0.9252290894911289,0.9804084372847807,0.9792068715992497,0.057093930974493196
test,2069,3,8,0.913810184267882,0.9137984940444878,0.8982469512195121,0.9334653465346535,0.9155175762283939,0.9714394516374715,0.9649753361902973,0.06458955254256142
train,2070,4,8,0.9238161283931048,0.923799461481299,0.9086744918408245,0.9424923290111848,0.9252745117092606,0.9808517730931152,0.9799288299614968,0.056640470776721685
test,2070,4,8,0.9088386841062227,0.9088219746211035,0.8924363359939187,0.92990099009901,0.9107835531419706,0.9697796332588436,0.9649409391253356,0.06737550965674105
train,2071,0,9,0.9261405855253381,0.9261276428127694,0.9135529728172126,0.9414967333201346,0.9273143859991225,0.9816378982960811,0.9812371865449921,0.05576415709929898
test,2071,0,9,0.9027144838517931,0.9026882814602784,0.8826626551335088,0.9291369754552652,0.9053037608486018,0.9670537084688144,0.9600070749351381,0.07000011847270386
train,2072,1,9,0.9252489225739338,0.9252348946055147,0.9116604388234167,0.9418926945159375,0.9265300160669945,0.9806866294976171,0.9795977195263416,0.05670864000740796
test,2072,1,9,0.9029126213592233,0.9028885783802441,0.8844410876132931,0.9271575613618369,0.9052957093158098,0.9678609419592761,0.961842658908539,0.06877422275148755
train,2073,2,9,0.9251498489126666,0.9251386575816115,0.9142636705564664,0.9384280340526628,0.9261882663279761,0.980727653786607,0.9794115729764616,0.05636954318739914
test,2073,2,9,0.9048939964335249,0.9048742738353335,0.8895658796648895,0.9247822644497229,0.906832298136646,0.9688989369737593,0.9635597698311357,0.06799073734036042
train,2074,3,9,0.9250507752513994,0.9250341573031413,0.9106903805698986,0.9426902900128674,0.9264140849180488,0.9813427056337573,0.9806662530816721,0.056238500446831485
test,2074,3,9,0.9118288091935803,0.9118182960246858,0.8978576893649579,0.9295049504950496,0.9134072776804826,0.9675103053525018,0.9611681093017223,0.06851584900293473
train,2075,4,9,0.9241628690311076,0.9241490731729916,0.9115613597080853,0.9396218944867861,0.9253789540381148,0.9807633433149714,0.9798155126595639,0.056773773773158995
test,2075,4,9,0.9104240982956797,0.9104155588109386,0.9018999612252812,0.9211881188118812,0.9114420062695925,0.9694165053157437,0.9655148953420029,0.06649985817264699
