run_id,seed,cv_repeat,cv_fold,probability_bin_center,observed_frequency,mean_predicted_probability,bin_count
21,2047,4,1,0.55,0.5319148936170213,0.5515043605455591,188
21,2047,4,1,0.6500000000000001,0.6597510373443983,0.6533185808012135,241
21,2047,4,1,0.75,0.7385159010600707,0.7579074668870804,283
21,2047,4,1,0.8500000000000001,0.873015873015873,0.8558698203044881,378
21,2047,4,1,0.95,0.9765970904490828,0.9780592668087906,1581
22,2048,4,2,0.05,0.012915129151291513,0.013805044868769732,1626
22,2048,4,2,0.15000000000000002,0.07116104868913857,0.14548161695729628,267
22,2048,4,2,0.25,0.17647058823529413,0.24656087589208228,204
22,2048,4,2,0.35000000000000003,0.2824858757062147,0.34760633719954565,177
22,2048,4,2,0.45,0.41916167664670656,0.4513290717682166,167
22,2048,4,2,0.55,0.5507246376811594,0.5521581312853061,207
22,2048,4,2,0.6500000000000001,0.642512077294686,0.654482306240012,207
22,2048,4,2,0.75,0.8365019011406845,0.7526860676078312,263
22,2048,4,2,0.8500000000000001,0.9021739130434783,0.8550548517512899,368
22,2048,4,2,0.95,0.9807815502882767,0.9770626611763497,1561
23,2049,4,3,0.05,0.008604794099569761,0.013981765594787594,1627
23,2049,4,3,0.15000000000000002,0.06808510638297872,0.14817165733002305,235
23,2049,4,3,0.25,0.15730337078651685,0.24547129836077375,178
23,2049,4,3,0.35000000000000003,0.21341463414634146,0.34996075924885034,164
23,2049,4,3,0.45,0.3430232558139535,0.4506087682320405,172
23,2049,4,3,0.55,0.5049019607843137,0.5514753132068388,204
23,2049,4,3,0.6500000000000001,0.6780487804878049,0.6534125746707792,205
23,2049,4,3,0.75,0.7689655172413793,0.7518409616996268,290
23,2049,4,3,0.8500000000000001,0.9221411192214112,0.8537905196954237,411
23,2049,4,3,0.95,0.9795003203074952,0.9771844695548003,1561
24,2050,4,4,0.05,0.009047044632086852,0.014737660921804788,1658
24,2050,4,4,0.15000000000000002,0.09871244635193133,0.14478341318460158,233
