bin_left,bin_right,bin_center,sample_count,normalized_density,class_id,class_label
0.2871804888968466,0.29546130646803925,0.29132089768244296,183,0.044677734375,2,Low
0.29546130646803925,0.30374212403923195,0.2996017152536356,163,0.039794921875,2,Low
0.30374212403923195,0.31202294161042465,0.3078825328248283,165,0.040283203125,2,Low
0.31202294161042465,0.32030375918161735,0.316163350396021,177,0.043212890625,2,Low
0.32030375918161735,0.32858457675281,0.32444416796721365,168,0.041015625,2,Low
0.32858457675281,0.3368653943240027,0.33272498553840635,136,0.033203125,2,Low
0.3368653943240027,0.3451462118951954,0.34100580310959905,156,0.0380859375,2,Low
0.3451462118951954,0.35342702946638804,0.34928662068079175,130,0.03173828125,2,Low
0.35342702946638804,0.36170784703758074,0.3575674382519844,150,0.03662109375,2,Low
0.36170784703758074,0.36998866460877344,0.3658482558231771,113,0.027587890625,3,Middle
0.36998866460877344,0.3782694821799661,0.37412907339436974,157,0.038330078125,3,Middle
0.3782694821799661,0.3865502997511588,0.38240989096556244,114,0.02783203125,3,Middle
0.3865502997511588,0.3948311173223515,0.39069070853675514,119,0.029052734375,3,Middle
0.3948311173223515,0.4031119348935442,0.39897152610794784,121,0.029541015625,3,Middle
0.4031119348935442,0.41139275246473683,0.40725234367914054,115,0.028076171875,3,Middle
0.41139275246473683,0.41967357003592953,0.4155331612503332,129,0.031494140625,3,Middle
0.41967357003592953,0.42795438760712223,0.4238139788215259,87,0.021240234375,3,Middle
0.42795438760712223,0.4362352051783149,0.4320947963927185,101,0.024658203125,3,Middle
0.4362352051783149,0.4445160227495076,0.4403756139639112,127,0.031005859375,3,Middle
0.4445160227495076,0.4527968403207003,0.44865643153510393,124,0.0302734375,3,Middle
0.4527968403207003,0.4610776578918929,0.45693724910629663,113,0.027587890625,3,Middle
0.4610776578918929,0.4693584754630856,0.4652180666774893,121,0.029541015625,3,Middle
0.4693584754630856,0.4776392930342783,0.473498884248682,117,0.028564453125,3,Middle
0.4776392930342783,0.48592011060547097,0.4817797018198746,127,0.031005859375,3,Middle
0.48592011060547097,0.49420092817666367,0.4900605193910673,128,0.03125,3,Middle
0.49420092817666367,0.5024817457478563,0.49834133696226,109,0.026611328125,4,High
0.5024817457478563,0.510762563319049,0.5066221545334526,128,0.03125,4,High
0.510762563319049,0.5190433808902417,0.5149029721046454,131,0.031982421875,4,High
0.5190433808902417,0.5273241984614344,0.523183789675838,105,0.025634765625,4,High
0.5273241984614344,0.5356050160326271,0.5314646072470308,123,0.030029296875,4,High
0.5356050160326271,0.5438858336038197,0.5397454248182234,114,0.02783203125,4,High
0.5438858336038197,0.5521666511750125,0.5480262423894161,143,0.034912109375,4,High
0.5521666511750125,0.5604474687462051,0.5563070599606088,131,0.031982421875,4,High
0.5604474687462051,0.5687282863173978,0.5645878775318014,150,0.03662109375,4,High
0.5687282863173978,0.5770091038885905,0.5728686951029942,158,0.03857421875,4,High
0.5770091038885905,0.5852899214597831,0.5811495126741868,160,0.0390625,4,High
0.5852899214597831,0.5935707390309759,0.5894303302453795,172,0.0419921875,4,High
0.5935707390309759,0.6018515566021685,0.5977111478165722,190,0.04638671875,4,High
0.6018515566021685,0.6101323741733613,0.6059919653877649,202,0.04931640625,4,High
0.6101323741733613,0.6184131917445539,0.6142727829589576,174,0.04248046875,4,High
0.6184131917445539,0.6266940093157467,0.6225536005301503,166,0.04052734375,4,High
0.6266940093157467,0.6349748268869393,0.630834418101343,183,0.044677734375,4,High
0.6349748268869393,0.6432556444581319,0.6391152356725356,191,0.046630859375,5,Highest
0.6432556444581319,0.6515364620293247,0.6473960532437283,213,0.052001953125,5,Highest
0.6515364620293247,0.6598172796005173,0.655676870814921,228,0.0556640625,5,Highest
0.6598172796005173,0.6680980971717101,0.6639576883861137,291,0.071044921875,5,Highest
0.6680980971717101,0.6763789147429027,0.6722385059573064,330,0.08056640625,5,Highest
0.6763789147429027,0.6846597323140953,0.680519323528499,276,0.0673828125,5,Highest
0.6846597323140953,0.6929405498852881,0.6888001410996917,380,0.0927734375,5,Highest
0.6929405498852881,0.7012213674564807,0.6970809586708844,425,0.103759765625,5,Highest
0.7012213674564807,0.7095021850276735,0.7053617762420771,528,0.12890625,5,Highest
0.7095021850276735,0.7177830025988661,0.7136425938132698,631,0.154052734375,5,Highest
0.7177830025988661,0.7260638201700589,0.7219234113844625,682,0.16650390625,5,Highest
0.7260638201700589,0.7343446377412515,0.7302042289556552,965,0.235595703125,5,Highest
0.7343446377412515,0.7426254553124441,0.7384850465268478,1118,0.27294921875,5,Highest
0.7426254553124441,0.7509062728836369,0.7467658640980405,1873,0.457275390625,5,Highest
0.7509062728836369,0.7591870904548295,0.7550466816692332,862,0.21044921875,5,Highest
0.7591870904548295,0.7674679080260223,0.7633274992404259,514,0.12548828125,5,Highest
0.7674679080260223,0.7757487255972149,0.7716083168116186,291,0.071044921875,5,Highest
0.7757487255972149,0.7840295431684077,0.7798891343828113,159,0.038818359375,5,Highest
0.7840295431684077,0.7923103607396003,0.788169951954004,84,0.0205078125,5,Highest
0.7923103607396003,0.8005911783107929,0.7964507695251966,44,0.0107421875,5,Highest
0.8005911783107929,0.8088719958819857,0.8047315870963893,30,0.00732421875,5,Highest
0.8088719958819857,0.8171528134531783,0.813012404667582,18,0.00439453125,5,Highest
0.8171528134531783,0.8254336310243711,0.8212932222387747,8,0.001953125,5,Highest
0.8254336310243711,0.8337144485955637,0.8295740398099674,9,0.002197265625,5,Highest
0.8337144485955637,0.8419952661667562,0.83785485738116,2,0.00048828125,5,Highest
0.8419952661667562,0.850276083737949,0.8461356749523526,1,0.000244140625,5,Highest
