false_positive_rate,true_positive_rate_mean,true_positive_rate_p05,true_positive_rate_p95
0.14056224899598393,0.9468349404051419,0.9373075275947593,0.9560489371233434
0.14457831325301204,0.9491107727868164,0.940062801144608,0.9578797545117695
0.14859437751004015,0.951274876510691,0.9432085363631804,0.9598116276871083
0.15261044176706826,0.9532889501256412,0.9454382701773597,0.9619083017771485
0.15662650602409636,0.9553806691842114,0.94789877999333,0.9627820563651698
0.1606425702811245,0.9572779171301162,0.9502323625459876,0.9640769281747451
0.1646586345381526,0.9588691077747679,0.952575583410443,0.965521753208023
0.1686746987951807,0.9604848646948878,0.9545447625816011,0.967283415500556
0.17269076305220882,0.9618498835533643,0.9549905654432312,0.9693222792158733
0.17670682730923692,0.9634142520342666,0.9562146547393057,0.9705443476877808
0.18072289156626503,0.9648044353660014,0.9576258716576519,0.9718058928784444
0.18473895582329317,0.9661688287056199,0.9598929481073258,0.9734734383076862
0.18875502008032127,0.9674266539828257,0.9617319237361163,0.9743751242594139
0.19277108433734938,0.9687461102439882,0.9630469621955756,0.9754432269388729
0.1967871485943775,0.9699506990179934,0.9639700925634446,0.9770500486144542
0.2008032128514056,0.9711309220346181,0.9652286382266994,0.9773911063395496
0.20481927710843373,0.9723110333925011,0.966446069312881,0.9784412936765894
0.20883534136546184,0.9734789080296714,0.9676260995420054,0.9795742976535038
0.21285140562248994,0.9744302183117047,0.9685026646570447,0.9801335074603367
0.21686746987951805,0.9753665930801738,0.9694476242261206,0.9807908144220043
0.22088353413654616,0.9763489912210556,0.9711936423445166,0.9813925399004564
0.22489959839357426,0.9771692106208922,0.9722119144299552,0.982175499521226
0.2289156626506024,0.9780227256753184,0.9732561055215091,0.9830091236016922
0.2329317269076305,0.9787783762270049,0.9745039580332414,0.9835108019362494
0.2369477911646586,0.9796012806780794,0.9753901433127601,0.9840270790300336
0.24096385542168672,0.9802676050505146,0.9761359012947314,0.9844906415278399
0.24497991967871482,0.9810092614580854,0.977148506933514,0.9848862399939644
0.24899598393574296,0.981595989121117,0.9773609212057341,0.9852071106559832
0.25301204819277107,0.9823464165571675,0.9788019267129227,0.9857696505076773
0.2570281124497992,0.9830880643789053,0.9794578061520296,0.9863539410377309
0.2610441767068273,0.9838268645781872,0.9802123530479303,0.9872201324550125
0.2650602409638554,0.9844418896411724,0.9806900521144895,0.9881138859456463
0.2690763052208835,0.9850040232306106,0.9810970696150022,0.9889737440410707
